Time,Sentiment
22/12/2020 00:11,1
22/12/2020 00:16,1
22/12/2020 00:21,1
22/12/2020 00:27,1
22/12/2020 00:32,-1
22/12/2020 00:37,1
22/12/2020 00:42,1
22/12/2020 00:47,1
22/12/2020 00:52,1
22/12/2020 00:57,1
22/12/2020 01:02,1
22/12/2020 01:07,1
22/12/2020 01:12,1
22/12/2020 01:17,-1
22/12/2020 01:22,-1
22/12/2020 01:27,1
22/12/2020 01:32,1
22/12/2020 01:37,1
22/12/2020 01:42,1
22/12/2020 01:47,1
22/12/2020 01:52,1
22/12/2020 01:58,-1
22/12/2020 02:03,-1
22/12/2020 02:08,-1
22/12/2020 02:13,-1
22/12/2020 02:18,1
22/12/2020 02:23,-1
22/12/2020 02:28,-1
22/12/2020 02:33,-1
22/12/2020 02:38,1
22/12/2020 02:43,-1
22/12/2020 02:48,-1
22/12/2020 02:53,1
22/12/2020 02:58,1
22/12/2020 03:03,-1
22/12/2020 03:08,-1
22/12/2020 03:13,1
22/12/2020 03:18,1
22/12/2020 03:23,-1
22/12/2020 03:28,1
22/12/2020 03:33,-1
22/12/2020 03:38,-1
22/12/2020 03:43,-1
22/12/2020 03:48,1
22/12/2020 03:53,1
22/12/2020 03:58,-1
22/12/2020 04:03,1
22/12/2020 04:08,1
22/12/2020 04:13,-1
22/12/2020 04:19,-1
22/12/2020 04:24,1
22/12/2020 04:29,1
22/12/2020 04:34,-1
22/12/2020 04:39,1
22/12/2020 04:44,1
22/12/2020 04:49,-1
22/12/2020 04:54,-1
22/12/2020 04:59,1
22/12/2020 05:04,-1
22/12/2020 05:09,1
22/12/2020 05:14,1
22/12/2020 05:19,-1
22/12/2020 05:24,1
22/12/2020 05:29,1
22/12/2020 05:34,1
22/12/2020 05:39,1
22/12/2020 05:44,-1
22/12/2020 05:49,1
22/12/2020 05:54,1
22/12/2020 05:59,-1
22/12/2020 06:04,-1
22/12/2020 06:09,-1
22/12/2020 06:14,1
22/12/2020 06:19,1
22/12/2020 06:24,-1
22/12/2020 06:29,1
22/12/2020 06:34,1
22/12/2020 06:39,-1
22/12/2020 06:44,1
22/12/2020 06:49,1
22/12/2020 06:54,1
22/12/2020 06:59,1
22/12/2020 07:05,1
22/12/2020 07:10,1
22/12/2020 07:15,1
22/12/2020 07:20,1
22/12/2020 07:25,1
22/12/2020 07:30,1
22/12/2020 07:35,1
22/12/2020 07:40,-1
22/12/2020 07:45,1
22/12/2020 07:50,1
22/12/2020 07:55,1
22/12/2020 08:00,1
22/12/2020 08:05,1
22/12/2020 08:10,1
22/12/2020 08:15,1
22/12/2020 08:20,1
22/12/2020 08:25,1
22/12/2020 08:30,1
22/12/2020 08:35,1
22/12/2020 08:40,1
22/12/2020 08:45,1
22/12/2020 08:50,1
22/12/2020 08:55,1
22/12/2020 09:00,1
22/12/2020 09:05,1
22/12/2020 09:10,1
22/12/2020 09:16,1
22/12/2020 09:21,1
22/12/2020 09:26,1
22/12/2020 09:31,1
22/12/2020 09:36,1
22/12/2020 09:41,1
22/12/2020 09:46,1
22/12/2020 09:51,1
22/12/2020 09:56,1
22/12/2020 10:01,1
22/12/2020 10:06,1
22/12/2020 10:11,1
22/12/2020 10:16,1
22/12/2020 10:21,1
22/12/2020 10:26,1
22/12/2020 10:31,1
22/12/2020 10:36,1
22/12/2020 10:41,1
22/12/2020 10:46,1
22/12/2020 10:51,1
22/12/2020 10:56,1
22/12/2020 11:01,1
22/12/2020 11:07,1
22/12/2020 11:12,-1
22/12/2020 11:17,1
22/12/2020 11:22,1
22/12/2020 11:27,1
22/12/2020 11:32,1
22/12/2020 11:37,1
22/12/2020 11:42,1
22/12/2020 11:47,1
22/12/2020 11:52,1
22/12/2020 11:57,1
22/12/2020 12:02,1
22/12/2020 12:07,1
22/12/2020 12:12,1
22/12/2020 12:17,1
22/12/2020 12:22,1
22/12/2020 12:27,1
22/12/2020 12:32,1
22/12/2020 12:37,1
22/12/2020 12:43,1
22/12/2020 12:48,1
22/12/2020 12:53,1
22/12/2020 12:58,1
22/12/2020 13:03,1
22/12/2020 13:08,1
22/12/2020 13:13,1
22/12/2020 13:18,1
22/12/2020 13:23,1
22/12/2020 13:28,1
22/12/2020 13:33,-1
22/12/2020 13:38,1
22/12/2020 13:43,1
22/12/2020 13:48,1
22/12/2020 13:53,1
22/12/2020 13:58,1
22/12/2020 14:03,1
22/12/2020 14:08,1
22/12/2020 14:13,1
22/12/2020 14:19,-1
22/12/2020 14:24,1
22/12/2020 14:29,1
22/12/2020 14:34,1
22/12/2020 14:39,1
22/12/2020 14:44,1
22/12/2020 14:49,1
22/12/2020 14:54,1
22/12/2020 14:59,1
22/12/2020 15:04,1
22/12/2020 15:09,1
22/12/2020 15:14,1
22/12/2020 15:19,1
22/12/2020 15:24,1
22/12/2020 15:29,1
